name,url,description,type
DeepEP,https://github.com/deepseek-ai/DeepEP,ไลบรารีการสื่อสารแบบ Expert-Parallel ที่มีประสิทธิภาพสูง,Library
3FS,https://github.com/deepseek-ai/3FS,ระบบไฟล์กระจายประสิทธิภาพสูง สำหรับการฝึกและ Inference AI,System
DeepGEMM,https://github.com/deepseek-ai/DeepGEMM,Kernel GEMM แบบ FP8 ที่มีประสิทธิภาพสูง,Kernel
open-infra-index,https://github.com/deepseek-ai/open-infra-index,เครื่องมือโครงสร้างพื้นฐาน AI สำหรับ AGI,Tool
profile-data,https://github.com/deepseek-ai/profile-data,วิเคราะห์การทับซ้อนใน DeepSeek-V3/R1,Analysis
awesome-deepseek-integration,https://github.com/deepseek-ai/awesome-deepseek-integration,วิธีผสาน DeepSeek API เข้ากับซอฟต์แวร์,Integration
smallpond,https://github.com/deepseek-ai/smallpond,เฟรมเวิร์กประมวลผลข้อมูลน้ำหนักเบา,Framework
FlashMLA,https://github.com/deepseek-ai/FlashMLA,Kernel ถอดรหัส MLA ประสิทธิภาพสูง,Kernel
DualPipe,https://github.com/deepseek-ai/DualPipe,Pipeline Parallelism แบบสองทิศทาง,Algorithm
EPLB,https://github.com/deepseek-ai/EPLB,Expert Parallelism Load Balancer,Tool
DeepSeek-VL2,https://github.com/deepseek-ai/DeepSeek-VL2,โมเดล Vision-Language แบบ MoE,Model
DeepSeek-V3,https://github.com/deepseek-ai/DeepSeek-V3,โมเดล MoE ขนาด 671B Parameters,Model
DeepSeek-R1,https://github.com/deepseek-ai/DeepSeek-R1,โมเดล Reasoning ด้วย RL,Model
Janus,https://github.com/deepseek-ai/Janus,โมเดล Multimodal เข้าใจหลายรูปแบบ,Model
DeepSeek-V2,https://github.com/deepseek-ai/DeepSeek-V2,โมเดล MoE 236B Parameters,Model
DeepSeek-Coder-V2,https://github.com/deepseek-ai/DeepSeek-Coder-V2,โมเดลเขียนโค้ดอัจฉริยะ,Model
ESFT,https://github.com/deepseek-ai/ESFT,เทคนิค Expert Specialized Fine-Tuning,Technique
DreamCraft3D,https://github.com/deepseek-ai/DreamCraft3D,สร้างโมเดล 3D ด้วย Diffusion,Model
DeepSeek-Prover-V1.5,https://github.com/deepseek-ai/DeepSeek-Prover-V1.5,โมเดลพิสูจน์คณิตศาสตร์,Model
DeepSeek-Coder,https://github.com/deepseek-ai/DeepSeek-Coder,โมเดลเขียนโค้ดอัตโนมัติ,Model
DeepSeek-VL,https://github.com/deepseek-ai/DeepSeek-VL,โมเดล Vision-Language เข้าใจโลกจริง,Model
DeepSeek-Math,https://github.com/deepseek-ai/DeepSeek-Math,โมเดลแก้ปัญหาคณิตศาสตร์,Model
awesome-deepseek-coder,https://github.com/deepseek-ai/awesome-deepseek-coder,รวมโปรเจกต์ DeepSeek Coder,Collection
DeepSeek-LLM,https://github.com/deepseek-ai/DeepSeek-LLM,โมเดลภาษาสำหรับงานทั่วไป,Model
DeepSeek-MoE,https://github.com/deepseek-ai/DeepSeek-MoE,โมเดล MoE ประสิทธิภาพสูง,Model
