source,repository_name,repository_url,notebook_name,notebook_url,notebook_type,description
Unsloth Notebooks,unslothai/notebooks,https://github.com/unslothai/notebooks,Phi 4 (14B) - GRPO,https://colab.research.google.com/github/unslothai/notebooks/blob/main/nb/Phi_4_(14B)-GRPO.ipynb,GRPO,Fine-Tuning ด้วย GRPO
Unsloth Notebooks,unslothai/notebooks,https://github.com/unslothai/notebooks,Llama 3.1 (8B) - GRPO,https://colab.research.google.com/github/unslothai/notebooks/blob/main/nb/Llama3.1_(8B)-GRPO.ipynb,GRPO,Fine-Tuning ด้วย GRPO
Unsloth Notebooks,unslothai/notebooks,https://github.com/unslothai/notebooks,Llama 3.2 (1B and 3B) - Conversational,https://colab.research.google.com/github/unslothai/notebooks/blob/main/nb/Llama3.2_(1B_and_3B)-Conversational.ipynb,Llama,Conversational
Unsloth Notebooks,unslothai/notebooks,https://github.com/unslothai/notebooks,Llama 3.2 (11B) - Vision,https://colab.research.google.com/github/unslothai/notebooks/blob/main/nb/Llama3.2_(11B)-Vision.ipynb,Llama,Vision
Unsloth Notebooks,unslothai/notebooks,https://github.com/unslothai/notebooks,Mistral Small (22B) - Alpaca,https://colab.research.google.com/github/unslothai/notebooks/blob/main/nb/Mistral_Small_(22B)-Alpaca.ipynb,Mistral,Alpaca
Unsloth Notebooks,unslothai/notebooks,https://github.com/unslothai/notebooks,Mistral (7B) - Text Completion,https://colab.research.google.com/github/unslothai/notebooks/blob/main/nb/Mistral_(7B)-Text_Completion.ipynb,Mistral,Text Completion
Origins AI Notebooks,OriginsHQ,https://originshq.com/blog/top-ai-llm-learning-resource-in-2025/,LLM AutoEval,https://colab.research.google.com/drive/1Igs3WZuXAIv9X0vwqiE90QlEPys8e8Oa,Eval,ประเมิน LLMs อัตโนมัติด้วย RunPod
Origins AI Notebooks,OriginsHQ,https://originshq.com/blog/top-ai-llm-learning-resource-in-2025/,LazyMergekit,https://colab.research.google.com/drive/1obulZ1ROXHjYLn6PPZJwRR6GzgQogxxb,Merge,รวมโมเดลด้วย MergeKit
Origins AI Notebooks,OriginsHQ,https://originshq.com/blog/top-ai-llm-learning-resource-in-2025/,LazyAxolotl,https://colab.research.google.com/drive/1TsDKNo2riwVmU55gjuBgB1AXVtRRfRHW,Fine-tuning,Fine-Tune โมเดลใน Cloud
Origins AI Notebooks,OriginsHQ,https://originshq.com/blog/top-ai-llm-learning-resource-in-2025/,AutoQuant,https://colab.research.google.com/drive/1b6nqC7UZVt8bx4MksX7s656GXPM-eWw4,Quantization,"Quantize LLMs เป็น GGUF, GPTQ"
Origins AI Notebooks,OriginsHQ,https://originshq.com/blog/top-ai-llm-learning-resource-in-2025/,Fine-tune Llama 3.1 with Unsloth,https://colab.research.google.com/drive/164cg_O7SV7G8kZr_JXqLd6VC7pd86-1Z,Fine-tuning,บทความ: Link
Awesome Colab Notebooks,amrzv/awesome-colab-notebooks,https://github.com/amrzv/awesome-colab-notebooks,ARENA,https://colab.research.google.com/drive/1vuQOB2Gd7OcfzH2y9djXm9OdZA_DcxYz,Course,ML Engineering โดย Callum McDougall
Awesome Colab Notebooks,amrzv/awesome-colab-notebooks,https://github.com/amrzv/awesome-colab-notebooks,Autodiff Cookbook,https://colab.research.google.com/github/google/jax/blob/main/docs/notebooks/autodiff_cookbook.ipynb,Research,พื้นฐาน Autodifferentiation
Awesome Colab Notebooks,amrzv/awesome-colab-notebooks,https://github.com/amrzv/awesome-colab-notebooks,Machine Learning Simplified,https://colab.research.google.com/github/5x12/themlsbook/blob/master/chapter2/knn.ipynb,Course,โดย Andrew Wolf
Awesome Colab Notebooks,amrzv/awesome-colab-notebooks,https://github.com/amrzv/awesome-colab-notebooks,Deep RL Course,https://colab.research.google.com/github/huggingface/deep-rl-class/blob/main/notebooks/unit1/unit1.ipynb,Course,จาก Hugging Face
Awesome Colab Notebooks,amrzv/awesome-colab-notebooks,https://github.com/amrzv/awesome-colab-notebooks,AlphaFold,https://colab.research.google.com/github/deepmind/alphafold/blob/master/notebooks/AlphaFold.ipynb,Research,Protein Structure Prediction
